spellName,school,subschool,descriptor,spellLevel,castTime,spellComponents,range,area,effect,target,duration,savingThrow,spellResistance,description,reference,domain,shortDescription,materialComponents
Symbol Of Laughter,enchantment,charm,mind-affecting,"sorcerer/wizard 4, witch 4, occultist 3, mesmerist 3",10 minutes,"V, S, M (mercury and phosphorus, plus powdered diamond and opal worth a total of 1,000 gp)",0 ft.; see text,,one symbol,,see text,Will negates,yes,"&lt;p&gt;This spell functions as &lt;i&gt;symbol of death&lt;/i&gt;, except that all creatures within 60 feet are affected with uncontrollable laughter (as &lt;i&gt;hideous&lt;/i&gt; laughter) for 1 round per caster level.&lt;/p&gt;&lt;p&gt;Unlike &lt;i&gt;symbol of death&lt;/i&gt;, &lt;i&gt;symbol of laughter&lt;/i&gt; has no hit point limit; once it is triggered, a &lt;i&gt;symbol of laughter&lt;/i&gt; remains active for 1 minute per caster level.&lt;/p&gt;&lt;p&gt;&lt;i&gt;Symbol of laughter&lt;/i&gt; can be made permanent with a &lt;i&gt;permanency&lt;/i&gt; spell by a caster of 10th level or higher at a cost of 5,000 gp.&lt;/p&gt;",Advanced Class Guide,,Triggered rune makes nearby creatures lose actions for 1 round/level.,1000
Thorn Javelin,conjuration,creation,poison,"druid 1, ranger 1, shaman 1",1 standard action,"V, S",0 ft.,,javelin-like thorn,,1 minute/level (D),none,no,"&lt;p&gt;A wooden thorn the size of a javelin (appropriate for your size) appears in your open hand. You can wield this thorn as a javelin, and you are proficient in its use. Any creature struck by the javelin must succeed at a Fortitude save or be sickened for 1 round. If you throw the javelin, another one appears in your hand. Any javelin that leaves your grasp disappears at the end of your turn. Each javelin attack you make reduces the spell&apos;s remaining duration by 1 minute.&lt;/p&gt;&lt;p&gt;If an attack reduces the remaining duration to 0 minutes or less, the spell ends after that attack resolves.&lt;/p&gt;",Advanced Class Guide,,Wield a javelin that sickens opponents when it strikes.,NULL
Thorny Entanglement,transmutation,,,"druid 3, ranger 3, shaman 3, witch 3",1 standard action,"V, S, DF",long (400 ft. + 40 ft./level),plants in a 40-ft.-radius spread,,,1 min./level (D),Reflex partial (see text),no,"&lt;p&gt;This spell functions as &lt;i&gt;entangle&lt;/i&gt;, except the plants also grow thorns and can fling them up to 15 feet. Any creature that moves within 15 feet of the spell&apos;s area is attacked once on its turn by the animated plants. The plants use your caster level as their base attack bonus and add your spellability score modifier (Intelligence for witches; Wisdom for druids, rangers, and shamans) to the attack roll. A volley of thorns counts as a thrown weapon and deals 2d6 points of piercing damage on a successful hit. A creature that enters the spell&apos;s area or ends its turn there automatically takes 2d6 points of piercing damage.&lt;/p&gt;",Advanced Class Guide,,"As entangle, plus plants make ranged attacks.",NULL
Thunderstomp,evocation,,earth,"bloodrager 1, druid 1, magus 1, ranger 1, sorcerer/wizard 1",1 standard action,"V, S",close (25 ft. + 5 ft./2 levels),,,one creature,instantaneous,none,yes,"&lt;p&gt;You stomp your foot or strike your weapon against the ground or floor, creating a ripple of power that you can use to trip a creature. Attempt the combat maneuver check to trip the target, but instead of your base attack bonus you can use your caster level, and instead of your Strength modifier you can use your spellcasting ability score modifier (Intelligence for magi and wizards; Wisdom for druids and rangers; Charisma for bloodragers and sorcerers). This trip attempt does not provoke an attack of opportunity. This spell has no effect if you cannot reach the ground or floor, or if your target is not in contact with the ground or floor.&lt;/p&gt;",Advanced Class Guide,,Trip one creature within range.,NULL
"Thunderstomp, Greater",evocation,,earth,"bloodrager 3, druid 3, magus 3, ranger 3, sorcerer/wizard 3",1 standard action,"V, S",60 ft.,60-ft. line,,,instantaneous,none,yes,"&lt;p&gt;This spell functions as &lt;i&gt;thunderstomp&lt;/i&gt;, except as noted. It allows you target multiple creatures with this spell, including creatures more than one size category larger than you. When you attempt the combat maneuver check, apply its result to each creature within the area.&lt;/p&gt;",Advanced Class Guide,,Trip multiple creatures within range.,NULL
Time Shudder,transmutation,,,"magus 2, sorcerer/wizard 2, summoner/unchained summoner 2, psychic 2",1 standard action,"V, S, M (a tiny hourglass)",30 ft.,30-ft.-radius emanation centered on you,,,1 round,none,yes,"&lt;p&gt;You cause a ripple in time that affects all creatures in the area.&lt;/p&gt;&lt;p&gt;At the start of each creature&apos;s turn, there is a 50% chance the creature is hasted (as haste); otherwise it is slowed (as slow).&lt;/p&gt;",Advanced Class Guide,,Nearby creatures are affected by haste or slow each round.,NULL
Triggered Suggestion,enchantment,compulsion,"language-dependent, mind-affecting","bard 3, sorcerer/wizard 4, witch 4, psychic 4, mesmerist 3",1 standard action,"V, M (a snake&apos;s tongue and a honeycomb)",close (25 ft. + 5 ft./2 levels),,,one living creature,1 day/level or until completed,Will negates,yes,"&lt;p&gt;This spell functions as &lt;i&gt;suggestion&lt;/i&gt;, except you can use it only to specify a condition that triggers a special activity, and the subject does not remember that you made the &lt;i&gt;suggestion&lt;/i&gt;.&lt;/p&gt;&lt;p&gt;For example, you could use triggered &lt;i&gt;suggestion&lt;/i&gt; on a palace guard to make him attack the king the next time he and the king are alone, and the guard would not remember the &lt;i&gt;suggestion&lt;/i&gt; to do so until the trigger occurred.&lt;/p&gt;",Advanced Class Guide,,"As suggestion, but triggered only and target doesn’t remember the suggestion.",NULL
Twilight Haze,illusion,shadow,"darkness, shadow","sorcerer/wizard 2, witch 2, psychic 2, mesmerist 2, spiritualist 2",1 standard action,"V, S",close (25 ft. + 5 ft./2 levels),,fog spreads in 20-ft. radius,,1 round/level,none,no,"&lt;p&gt;You create a gray haze that obscures sight (as &lt;i&gt;fog&lt;/i&gt; cloud) and causes the illumination level within it to dim by one step (as per darkness). Since this spell produces an illusion rather than a true physical &lt;i&gt;fog&lt;/i&gt;, it is unaffected by wind and can be cast underwater.&lt;/p&gt;",Advanced Class Guide,,Illusory fog obscures vision.,NULL
Unbearable Brightness,evocation,,light,"alchemist 4, sorcerer/wizard 4, witch 4, occultist 4, psychic 4",1 standard action,"V, S",personal and 30 ft. (see text),30-ft.-radius emanation centered on you,,,1 round/level,none and Reflex partial (see text),no and yes (see text),"&lt;p&gt;Your body glows with a terrible light. Creatures within 30 feet of you that can see you are dazzled (no saving throw).&lt;/p&gt;&lt;p&gt;Creatures with light sensitivity must succeed at a Reflex saving throw or be blinded. This light counts as &lt;i&gt;daylight&lt;/i&gt; for the purpose of affecting darkness effects (and vice versa).&lt;/p&gt;&lt;p&gt;If the emanation enters an area under the effect of magical darkness (or vice versa), both effects are temporarily negated so that the otherwise prevailing light conditions exist in the overlapping areas of effect. Dazzled and blinded conditions from your light end when the spell ends or when the creature is out of line of sight.&lt;/p&gt;",Advanced Class Guide,,Your glowing body dazzles or blinds others.,NULL
Unholy Ice Weapon,transmutation,,"cold, evil, water","cleric/oracle 2, inquisitor 2",1 standard action,"V, S, M (a flask of unholy water or 5 pounds of powdered silver worth 25 gp)",0 ft.,,one ice weapon,,1 minute/level (D),none,no,"&lt;p&gt;This spell functions as &lt;i&gt;holy ice weapon&lt;/i&gt;, except the weapon is made of frozen unholy water, and instead deals additional damage to creatures that are susceptible to unholy water.&lt;/p&gt;",Advanced Class Guide,,Create a masterwork weapon made of frozen unholy water.,25
Unliving Rage,necromancy,,,"cleric/oracle 2, sorcerer/wizard 3, witch 3, mesmerist 2, spiritualist 3",1 standard action,"V, S",medium (100 ft. + 10 ft./level),,,"one willing undead creature per 3 levels, no two of which can be more than 30 ft. apart",concentration + 1 round/level (D),none,yes,"&lt;p&gt;This spell functions as &lt;i&gt;rage&lt;/i&gt;, except it affects only undead creatures and bolsters them with necromantic energy rather than emotion. Each affected creature gains a +2 profane bonus to Strength and Charisma, a +1 profane bonus on Will saves, and a -2 penalty to AC. The effect is otherwise identical to a barbarian&apos;s &lt;i&gt;rage&lt;/i&gt;.&lt;/p&gt;",Advanced Class Guide,,"As rage, except affecting only undead.",NULL
Vampiric Shadow Shield,necromancy,,,"magus 5, sorcerer/wizard 5, spiritualist 5",1 standard action,"V, S",personal,,,you,1 round/level (D),,,"&lt;p&gt;This spell wreathes you in shadowy energy and damages those that make melee attacks against you. Any creature that strikes you with its body or a handheld weapon deals normal damage, but at the same time the attacker takes 1d6 points of negative energy damage + 1 point per caster level (maximum +15). If the attacker has spell resistance, it applies to this effect. Creatures wielding melee weapons with reach are not subject to this damage.&lt;/p&gt;&lt;p&gt;When an attacker takes damage from the spell, you heal a number of hit points equal to 25% of the damage the spell dealt.&lt;/p&gt;",Advanced Class Guide,,"As fire shield, except attackers take negative energy damage and attacks heal you.",NULL
Wall Of Blindness and Deafness,necromancy,,,"bard 4, cleric/oracle 5, sorcerer/wizard 4, witch 4, psychic 4",1 standard action,"V, S",medium (100 ft. + 10 ft./level),,translucent wall 20 ft. long/level or a translucent ring with a radius of up to 5 ft./two levels; either form 20 ft. high,,concentration + 1 round/level,Fortitude negates,yes,"&lt;p&gt;You create a translucent wall of energy, within which can be seen indistinct images of faces with their eyes or ears sewn shut. When you create the wall, decide whether it blinds or deafens. Any creature that passes through the wall must save or become permanently blinded or deafened (as blindness/deafness).  The wall must be vertical and either rectangular or a ring. It need not touch the ground. The wall must be continuous and unbroken when formed. If its surface is broken by any object or creature when it is cast, the spell fails.&lt;/p&gt;",Advanced Class Guide,,Translucent wall blinds or deafens creatures that pass through it.,NULL
Wall Of Nausea,illusion,pattern,mind-affecting,"bard 3, sorcerer/wizard 3, psychic 3",1 standard action,"V, S",close (25 ft. + 5 ft./2 levels),,transparent wall whose area is up to one 10-ft. square/level,,1 round/level,see text,no,"&lt;p&gt;You create a transparent, shimmering wall through which creatures and objects appear to be wildly distorted to viewers. Any creature that passes through the wall is immediately assailed by overwhelming vertigo, becoming nauseated for 1 round unless it succeeds at a Fortitude save; if nauseated, the creature must also succeed at a DC 12 Acrobatics check or fall prone. Creatures gain partial concealment (20% miss chance) against creatures on the other side of the wall.&lt;/p&gt;&lt;p&gt;The wall must be vertical and rectangular. It need not touch the ground. The wall must be continuous and unbroken when formed. If its surface is broken by any object or creature when it is cast, the spell fails.&lt;/p&gt;",Advanced Class Guide,,Creatures that pass through the wall are nauseated and might fall prone.,NULL
Wave Shield,abjuration,,water,"bloodrager 1, druid 1, magus 1, shaman 1, sorcerer/wizard 1, witch 1",1 immediate action,V,personal,,,you,1 round or until discharged,,,"&lt;p&gt;You create a rushing torrent of water in the rough outline of a shield. The water protects you from one physical or fire attack, granting you DR/- and fire resistance equal to half your caster level (minimum 1) on that attack. Once the spell has reduced the damage of one attack against you, it is discharged.&lt;/p&gt;",Advanced Class Guide,,Water blunts one incoming attack or fire effect.,NULL
